Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Name
1961-62,25.0,SYR,NBA,SG,71,,38.1,9.1,20.3,0.447,,,,,,,,4.7,5.7,0.819,,,7.4,4.4,,,,3.5,22.8,Hal Greer
1962-63,26.0,SYR,NBA,SG,80,,32.9,7.5,16.2,0.464,,,,,,,,4.5,5.4,0.834,,,5.7,3.4,,,,3.6,19.5,Hal Greer
1963-64,27.0,PHI,NBA,SG,80,,39.5,8.9,20.1,0.444,,,,,,,,5.4,6.6,0.829,,,6.1,4.7,,,,3.6,23.3,Hal Greer
1964-65,28.0,PHI,NBA,SG,70,,37.1,7.7,17.8,0.433,,,,,,,,4.8,5.9,0.811,,,5.1,4.5,,,,3.6,20.2,Hal Greer
1965-66,29.0,PHI,NBA,SG,80,,41.6,8.8,19.8,0.445,,,,,,,,5.2,6.4,0.804,,,5.9,4.8,,,,3.9,22.7,Hal Greer
1966-67,30.0,PHI,NBA,SG,80,,38.6,8.7,19.1,0.459,,,,,,,,4.6,5.8,0.788,,,5.3,3.8,,,,3.8,22.1,Hal Greer
1967-68,31.0,PHI,NBA,SG,82,,39.8,9.5,19.8,0.478,,,,,,,,5.1,6.7,0.769,,,5.4,4.5,,,,3.5,24.1,Hal Greer
1968-69,32.0,PHI,NBA,SG,82,,40.4,8.9,19.5,0.459,,,,,,,,5.3,6.6,0.796,,,5.3,5.0,,,,3.6,23.1,Hal Greer
1969-70,33.0,PHI,NBA,SG,80,,37.8,8.8,19.4,0.455,,,,,,,,4.4,5.4,0.815,,,4.7,5.1,,,,3.8,22.0,Hal Greer
1970-71,34.0,PHI,NBA,SG,81,,37.8,7.3,16.9,0.431,,,,,,,,4.0,5.0,0.805,,,4.5,4.6,,,,3.6,18.6,Hal Greer
1971-72,35.0,PHI,NBA,PG,81,,29.8,4.8,10.7,0.449,,,,,,,,2.2,2.9,0.774,,,3.3,3.9,,,,3.3,11.8,Hal Greer
1972-73,36.0,PHI,NBA,PG,38,,22.3,2.4,6.1,0.392,,,,,,,,0.8,1.0,0.821,,,2.8,2.9,,,,2.0,5.6,Hal Greer
2005-06,20.0,NOK,NBA,PG,78.0,78.0,36.0,5.2,12.1,0.43,0.6,2.3,0.282,4.6,9.9,0.464,0.456,5.1,6.0,0.847,0.8,4.3,5.1,7.8,2.2,0.1,2.3,2.8,16.1,Chris Paul
2006-07,21.0,NOK,NBA,PG,64.0,64.0,36.8,6.0,13.6,0.437,0.8,2.2,0.35,5.2,11.4,0.455,0.466,4.6,5.6,0.818,0.8,3.5,4.4,8.9,1.8,0.0,2.5,2.4,17.3,Chris Paul
2007-08,22.0,NOH,NBA,PG,80.0,80.0,37.6,7.9,16.1,0.488,1.2,3.1,0.369,6.7,13.0,0.516,0.524,4.2,4.9,0.851,0.8,3.2,4.0,11.6,2.7,0.1,2.5,2.3,21.1,Chris Paul
2008-09,23.0,NOH,NBA,PG,78.0,78.0,38.5,8.1,16.1,0.503,0.8,2.3,0.364,7.3,13.8,0.525,0.528,5.8,6.7,0.868,0.9,4.7,5.5,11.0,2.8,0.1,3.0,2.7,22.8,Chris Paul
2009-10,24.0,NOH,NBA,PG,45.0,45.0,38.0,7.0,14.2,0.493,1.2,2.8,0.409,5.8,11.3,0.514,0.534,3.6,4.2,0.847,0.4,3.8,4.2,10.7,2.1,0.2,2.5,2.6,18.7,Chris Paul
2010-11,25.0,NOH,NBA,PG,80.0,80.0,36.0,5.4,11.6,0.463,0.9,2.3,0.388,4.5,9.3,0.482,0.502,4.2,4.8,0.878,0.5,3.6,4.1,9.8,2.4,0.1,2.2,2.5,15.9,Chris Paul
2011-12,26.0,LAC,NBA,PG,60.0,60.0,36.4,7.1,14.8,0.478,1.3,3.6,0.371,5.8,11.3,0.511,0.522,4.3,5.0,0.861,0.7,2.9,3.6,9.1,2.5,0.1,2.1,2.3,19.8,Chris Paul
